"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","SUCCESS","2022-07-13T20:34:37.763350733Z[Etc/UTC]","0.0","2.86"
"When logging on","Users can login via the home page","SUCCESS","2022-07-13T20:34:17.605787108Z[Etc/UTC]","0.0","17.87"
