"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","SUCCESS","2022-07-13T20:50:37.989948385Z[Etc/UTC]","0.0","2.7"
"When logging on","Users can login via the home page","SUCCESS","2022-07-13T20:50:28.473706142Z[Etc/UTC]","0.0","8.12"
